,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,date
63629,I182002839,613,Larceny,LARCENY SHOPLIFTING,A15,105,,2018-01-11 16:28:00,2018,1,Thursday,16,Part One,SUMMER ST,42.35521625,-71.06012863,"(42.35521625, -71.06012863)",2018-01-11
63642,I182002829,619,Larceny,LARCENY ALL OTHERS,C11,253,,2018-01-08 15:25:00,2018,1,Monday,15,Part One,MILL ST,42.29921088,-71.05203766,"(42.29921088, -71.05203766)",2018-01-08
63646,I182002825,616,Larceny,LARCENY THEFT OF BICYCLE,D4,153,,2018-01-11 17:08:00,2018,1,Thursday,17,Part One,TREMONT ST,42.34182317,-71.07562989,"(42.34182317, -71.07562989)",2018-01-11
63649,I182002820,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2018-01-11 16:06:00,2018,1,Thursday,16,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2018-01-11
63660,I182002807,613,Larceny,LARCENY SHOPLIFTING,A1,84,,2018-01-11 15:24:00,2018,1,Thursday,15,Part One,HANOVER ST,42.36303798,-71.05524751,"(42.36303798, -71.05524751)",2018-01-11
63664,I182002804,613,Larceny,LARCENY SHOPLIFTING,D4,168,,2018-01-11 15:07:00,2018,1,Thursday,15,Part One,WASHINGTON ST,42.33816387,-71.07461217,"(42.33816387, -71.07461217)",2018-01-11
63666,I182002802,619,Larceny,LARCENY ALL OTHERS,C6,200,,2018-01-11 15:34:00,2018,1,Thursday,15,Part One,W BROADWAY,42.34234193,-71.05633276,"(42.34234193, -71.05633276)",2018-01-11
63695,I182002775,617,Larceny,LARCENY THEFT FROM BUILDING,D4,157,,2018-01-11 13:36:00,2018,1,Thursday,13,Part One,W NEWTON ST,42.34063708,-71.07572281,"(42.34063708, -71.07572281)",2018-01-11
63702,I182002768,619,Larceny,LARCENY ALL OTHERS,B3,412,,2018-01-11 10:11:00,2018,1,Thursday,10,Part One,MORTON ST,42.27892368,-71.08026116,"(42.27892368, -71.08026116)",2018-01-11
63703,I182002767,619,Larceny,LARCENY ALL OTHERS,B3,412,,2018-01-11 10:11:00,2018,1,Thursday,10,Part One,MORTON ST,42.27892368,-71.08026116,"(42.27892368, -71.08026116)",2018-01-11
63706,I182002766,619,Larceny,LARCENY ALL OTHERS,B3,412,,2018-01-11 10:11:00,2018,1,Thursday,10,Part One,MORTON ST,42.27892368,-71.08026116,"(42.27892368, -71.08026116)",2018-01-11
63711,I182002762,613,Larceny,LARCENY SHOPLIFTING,C6, ,,2018-01-11 12:46:00,2018,1,Thursday,12,Part One,DISTRICT AVE,,,"(0.00000000, 0.00000000)",2018-01-11
