,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,date
168929,I162104534,613,Larceny,LARCENY SHOPLIFTING,A15,105,,2016-12-23 22:44:00,2016,12,Friday,22,Part One,SUMMER ST,42.35521625,-71.06012863,"(42.35521625, -71.06012863)",2016-12-23
168939,I162104523,613,Larceny,LARCENY SHOPLIFTING,E18,490,,2016-12-23 21:22:00,2016,12,Friday,21,Part One,AMERICAN LEGION HWY,42.27413021,-71.11674617,"(42.27413021, -71.11674617)",2016-12-23
168966,I162104494,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2016-12-23 19:40:00,2016,12,Friday,19,Part One,NEWBURY ST,42.35176179,-71.07452168,"(42.35176179, -71.07452168)",2016-12-23
168968,I162104493,613,Larceny,LARCENY SHOPLIFTING,D4,271,,2016-12-23 16:48:00,2016,12,Friday,16,Part One,MASSACHUSETTS AVE,42.335482,-71.07586449,"(42.33548200, -71.07586449)",2016-12-23
168969,I162104492,619,Larceny,LARCENY ALL OTHERS,B3,429,,2016-12-23 19:40:00,2016,12,Friday,19,Part One,MORTON ST,42.28135221,-71.08649091,"(42.28135221, -71.08649091)",2016-12-23
168973,I162104488,617,Larceny,LARCENY THEFT FROM BUILDING,A7,35,,2016-12-17 08:00:00,2016,12,Saturday,8,Part One,WEBSTER ST,42.36690003,-71.03741912,"(42.36690003, -71.03741912)",2016-12-17
168974,I162104488,619,Larceny,LARCENY ALL OTHERS,A7,35,,2016-12-17 08:00:00,2016,12,Saturday,8,Part One,WEBSTER ST,42.36690003,-71.03741912,"(42.36690003, -71.03741912)",2016-12-17
168977,I162104484,619,Larceny,LARCENY ALL OTHERS,C11,377,,2016-12-23 19:10:00,2016,12,Friday,19,Part One,FROST AVE,42.29108955,-71.05057174,"(42.29108955, -71.05057174)",2016-12-23
168978,I162104483,617,Larceny,LARCENY THEFT FROM BUILDING,D4,142,,2016-12-23 15:00:00,2016,12,Friday,15,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)",2016-12-23
168979,I162104482,619,Larceny,LARCENY ALL OTHERS,C11, ,,2016-12-23 18:19:00,2016,12,Friday,18,Part One,,,,"(0.00000000, 0.00000000)",2016-12-23
168982,I162104477,619,Larceny,LARCENY ALL OTHERS,C11, ,,2016-12-23 18:06:00,2016,12,Friday,18,Part One,,,,"(0.00000000, 0.00000000)",2016-12-23
169008,I162104453,617,Larceny,LARCENY THEFT FROM BUILDING,B2,292,,2016-12-23 16:31:00,2016,12,Friday,16,Part One,JOHN ELIOT SQ,42.33001318,-71.09117863,"(42.33001318, -71.09117863)",2016-12-23
169010,I162104450,617,Larceny,LARCENY THEFT FROM BUILDING,A15,105,,2016-12-23 15:17:00,2016,12,Friday,15,Part One,SUMMER ST,42.35521625,-71.06012863,"(42.35521625, -71.06012863)",2016-12-23
169044,I162104412,617,Larceny,LARCENY THEFT FROM BUILDING,D14,786,,2016-12-23 15:08:00,2016,12,Friday,15,Part One,COMMONWEALTH AVE,42.34194954,-71.14451594,"(42.34194954, -71.14451594)",2016-12-23
169049,I162104405,619,Larceny,LARCENY ALL OTHERS,D14,803,,2016-12-06 00:00:00,2016,12,Tuesday,0,Part One,HANO ST,42.35548407,-71.13741814,"(42.35548407, -71.13741814)",2016-12-06
169051,I162104403,613,Larceny,LARCENY SHOPLIFTING,D4,133,,2016-12-23 13:32:00,2016,12,Friday,13,Part One,NEWBURY ST,42.35118005,-71.07666607,"(42.35118005, -71.07666607)",2016-12-23
169068,I162104387,619,Larceny,LARCENY ALL OTHERS,B2,327,,2016-12-23 12:58:00,2016,12,Friday,12,Part One,CUNNINGHAM ST,42.31421858,-71.07315368,"(42.31421858, -71.07315368)",2016-12-23
169069,I162104386,617,Larceny,LARCENY THEFT FROM BUILDING,A1,109,,2016-12-21 18:15:00,2016,12,Wednesday,18,Part One,HIGH ST,42.35649296,-71.05259107,"(42.35649296, -71.05259107)",2016-12-21
169072,I162104383,617,Larceny,LARCENY THEFT FROM BUILDING,D14,774,,2016-12-23 12:47:00,2016,12,Friday,12,Part One,LOTHIAN RD,42.34037301,-71.15388143,"(42.34037301, -71.15388143)",2016-12-23
169074,I162104382,617,Larceny,LARCENY THEFT FROM BUILDING,B2,287,,2016-12-23 00:50:00,2016,12,Friday,0,Part One,SHAWMUT AVE,42.33192532,-71.08411222,"(42.33192532, -71.08411222)",2016-12-23
169083,I162104372,617,Larceny,LARCENY THEFT FROM BUILDING,A1,122,,2016-12-18 01:30:00,2016,12,Sunday,1,Part One,TREMONT ST,42.34942864,-71.06536641,"(42.34942864, -71.06536641)",2016-12-18
169089,I162104366,617,Larceny,LARCENY THEFT FROM BUILDING,A1,77,,2016-12-21 11:32:00,2016,12,Wednesday,11,Part One,BOWKER ST,42.36242887,-71.06054873,"(42.36242887, -71.06054873)",2016-12-21
169097,I162104357,613,Larceny,LARCENY SHOPLIFTING,B3,429,,2016-12-23 11:37:00,2016,12,Friday,11,Part One,MORTON ST,42.28187061,-71.08751152,"(42.28187061, -71.08751152)",2016-12-23
169114,I162104343,617,Larceny,LARCENY THEFT FROM BUILDING,B3,428,,2016-12-23 10:59:00,2016,12,Friday,10,Part One,LANDOR RD,42.28319809,-71.09098657,"(42.28319809, -71.09098657)",2016-12-23
169132,I162104323,617,Larceny,LARCENY THEFT FROM BUILDING,A15,57,,2016-12-06 12:00:00,2016,12,Tuesday,12,Part One,MONUMENT AVE,42.37490832,-71.06171012,"(42.37490832, -71.06171012)",2016-12-06
169140,I162104315,617,Larceny,LARCENY THEFT FROM BUILDING,D4,142,,2016-12-23 01:45:00,2016,12,Friday,1,Part One,NEWBURY ST,42.34895777,-71.08489204,"(42.34895777, -71.08489204)",2016-12-23
169162,I162104287,617,Larceny,LARCENY THEFT FROM BUILDING,A7,35,,2016-12-23 01:55:00,2016,12,Friday,1,Part One,HAYNES ST,42.36666678,-71.0379296,"(42.36666678, -71.03792960)",2016-12-23
169197,I162104250,613,Larceny,LARCENY SHOPLIFTING,D4,143,,2016-12-22 19:47:00,2016,12,Thursday,19,Part One,RING RD,42.34813158,-71.08027002,"(42.34813158, -71.08027002)",2016-12-22
169210,I162104238,613,Larceny,LARCENY SHOPLIFTING,B2,329,,2016-12-22 20:29:00,2016,12,Thursday,20,Part One,BLUE HILL AVE,42.30896999,-71.08284839,"(42.30896999, -71.08284839)",2016-12-22
169224,I162104224,613,Larceny,LARCENY SHOPLIFTING,D4,130,,2016-12-22 19:00:00,2016,12,Thursday,19,Part One,HUNTINGTON AVE,42.34749899,-71.07925506,"(42.34749899, -71.07925506)",2016-12-22
169237,I162104212,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2016-12-22 19:00:00,2016,12,Thursday,19,Part One,NEWBURY ST,42.35176179,-71.07452168,"(42.35176179, -71.07452168)",2016-12-22
169246,I162104201,617,Larceny,LARCENY THEFT FROM BUILDING,D14,796,,2016-12-21 18:22:00,2016,12,Wednesday,18,Part One,BRIGHTON AVE,42.35283155,-71.13114273,"(42.35283155, -71.13114273)",2016-12-21
169253,I162104194,619,Larceny,LARCENY ALL OTHERS,D14,765,,2016-12-22 16:15:00,2016,12,Thursday,16,Part One,HOBSON ST,42.35373919,-71.1620848,"(42.35373919, -71.16208480)",2016-12-22
169257,I162104189,613,Larceny,LARCENY SHOPLIFTING,A1,98,,2016-12-22 17:19:00,2016,12,Thursday,17,Part One,WASHINGTON ST,42.35724324,-71.05849672,"(42.35724324, -71.05849672)",2016-12-22
169271,I162104174,617,Larceny,LARCENY THEFT FROM BUILDING,A1,112,,2016-12-22 15:44:00,2016,12,Thursday,15,Part One,WASHINGTON ST,42.35512339,-71.0608798,"(42.35512339, -71.06087980)",2016-12-22
169284,I162104162,613,Larceny,LARCENY SHOPLIFTING,C6,186,,2016-12-22 16:14:00,2016,12,Thursday,16,Part One,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)",2016-12-22
169285,I162104161,613,Larceny,LARCENY SHOPLIFTING,C6,186,,2016-12-22 15:29:00,2016,12,Thursday,15,Part One,ALBANY ST,,,"(0.00000000, 0.00000000)",2016-12-22
169287,I162104160,617,Larceny,LARCENY THEFT FROM BUILDING,A1,109,,2016-12-21 11:00:00,2016,12,Wednesday,11,Part One,FRANKLIN ST,42.35669329,-71.05374582,"(42.35669329, -71.05374582)",2016-12-21
169288,I162104159,617,Larceny,LARCENY THEFT FROM BUILDING,D14,760,,2016-12-22 16:08:00,2016,12,Thursday,16,Part One,BEECHCROFT ST,42.35167293,-71.16115206,"(42.35167293, -71.16115206)",2016-12-22
169290,I162104157,617,Larceny,LARCENY THEFT FROM BUILDING,E5,731,,2016-12-19 10:00:00,2016,12,Monday,10,Part One,CHESBROUGH RD,42.281799,-71.16700661,"(42.28179900, -71.16700661)",2016-12-19
169292,I162104155,613,Larceny,LARCENY SHOPLIFTING,A1,77,,2016-12-22 14:21:00,2016,12,Thursday,14,Part One,CONGRESS ST,42.36139413,-71.0576869,"(42.36139413, -71.05768690)",2016-12-22
169294,I162104154,619,Larceny,LARCENY ALL OTHERS,C6,230,,2016-12-22 15:05:00,2016,12,Thursday,15,Part One,E FIFTH ST,42.33397627,-71.03377229,"(42.33397627, -71.03377229)",2016-12-22
169304,I162104144,617,Larceny,LARCENY THEFT FROM BUILDING,A7,26,,2016-12-22 12:00:00,2016,12,Thursday,12,Part One,BORDER ST,42.38093345,-71.04023929,"(42.38093345, -71.04023929)",2016-12-22
169307,I162104141,617,Larceny,LARCENY THEFT FROM BUILDING,A1,106,,2016-12-17 16:00:00,2016,12,Saturday,16,Part One,SUMMER ST,42.3538772,-71.05830207,"(42.35387720, -71.05830207)",2016-12-17
169321,I162104125,617,Larceny,LARCENY THEFT FROM BUILDING,C6,215,,2016-11-04 00:01:00,2016,11,Friday,0,Part One,W SIXTH ST,42.33536755,-71.05081638,"(42.33536755, -71.05081638)",2016-11-04
169325,I162104121,617,Larceny,LARCENY THEFT FROM BUILDING,C6,202,,2016-12-19 20:00:00,2016,12,Monday,20,Part One,W SECOND ST,42.34163892,-71.05156725,"(42.34163892, -71.05156725)",2016-12-19
169328,I162104117,613,Larceny,LARCENY SHOPLIFTING,D4,130,,2016-12-22 13:14:00,2016,12,Thursday,13,Part One,HUNTINGTON AVE,42.34749899,-71.07925506,"(42.34749899, -71.07925506)",2016-12-22
169336,I162104105,613,Larceny,LARCENY SHOPLIFTING,D4,143,,2016-12-22 12:51:00,2016,12,Thursday,12,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)",2016-12-22
169338,I162104105,619,Larceny,LARCENY ALL OTHERS,D4,143,,2016-12-22 12:51:00,2016,12,Thursday,12,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)",2016-12-22
169341,I162104102,613,Larceny,LARCENY SHOPLIFTING,D4,129,,2016-12-22 12:45:00,2016,12,Thursday,12,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2016-12-22
169343,I162104100,613,Larceny,LARCENY SHOPLIFTING,D4,272,,2016-12-22 12:40:00,2016,12,Thursday,12,Part One,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)",2016-12-22
169347,I162104095,613,Larceny,LARCENY SHOPLIFTING,E5,932,,2016-12-22 12:33:00,2016,12,Thursday,12,Part One,WASHINGTON ST,42.27581799,-71.13991259,"(42.27581799, -71.13991259)",2016-12-22
169348,I162104095,617,Larceny,LARCENY THEFT FROM BUILDING,E5,932,,2016-12-22 12:33:00,2016,12,Thursday,12,Part One,WASHINGTON ST,42.27581799,-71.13991259,"(42.27581799, -71.13991259)",2016-12-22
169352,I162104090,619,Larceny,LARCENY ALL OTHERS,D4,138,,2016-12-07 12:00:00,2016,12,Wednesday,12,Part One,BOYLSTON ST,42.34901954,-71.08130134,"(42.34901954, -71.08130134)",2016-12-07
169362,I162104080,619,Larceny,LARCENY ALL OTHERS,B3,435,,2016-12-21 08:43:00,2016,12,Wednesday,8,Part One,PEACEVALE RD,42.28716674,-71.07633479,"(42.28716674, -71.07633479)",2016-12-21
169365,I162104074,613,Larceny,LARCENY SHOPLIFTING,E5,680,,2016-12-22 10:47:00,2016,12,Thursday,10,Part One,CORINTH ST,42.28593201,-71.12933705,"(42.28593201, -71.12933705)",2016-12-22
169371,I162104070,613,Larceny,LARCENY SHOPLIFTING,D4,624,,2016-12-22 11:16:00,2016,12,Thursday,11,Part One,BOYLSTON ST,42.34489594,-71.09659186,"(42.34489594, -71.09659186)",2016-12-22
169419,I162104017,613,Larceny,LARCENY SHOPLIFTING,B2,284,,2016-12-22 07:04:00,2016,12,Thursday,7,Part One,WARREN ST,42.3169665,-71.08254058,"(42.31696650, -71.08254058)",2016-12-22
169439,I162103994,617,Larceny,LARCENY THEFT FROM BUILDING,C11,244,,2016-12-22 05:33:00,2016,12,Thursday,5,Part One,DORCHESTER AVE,42.31701774,-71.05670175,"(42.31701774, -71.05670175)",2016-12-22
169447,I162103990,619,Larceny,LARCENY ALL OTHERS,D14,803,,2016-12-22 02:48:00,2016,12,Thursday,2,Part One,CAMBRIDGE ST,42.35515405,-71.13363463,"(42.35515405, -71.13363463)",2016-12-22
169481,I162103946,613,Larceny,LARCENY SHOPLIFTING,C6,186,,2016-12-21 21:18:00,2016,12,Wednesday,21,Part One,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)",2016-12-21
169506,I162103916,617,Larceny,LARCENY THEFT FROM BUILDING,A1,68,,2016-12-20 10:00:00,2016,12,Tuesday,10,Part One,HANCOCK ST,42.36025385,-71.06447113,"(42.36025385, -71.06447113)",2016-12-20
169510,I162103908,619,Larceny,LARCENY ALL OTHERS,B3,427,,2016-12-21 16:11:00,2016,12,Wednesday,16,Part One,BLUE HILL AVE,42.27470119,-71.09344053,"(42.27470119, -71.09344053)",2016-12-21
169525,I162103891,611,Larceny,LARCENY PICK-POCKET,E5,562,,2016-12-21 17:45:00,2016,12,Wednesday,17,Part One,CUMMINS HWY,42.28621569,-71.1277758,"(42.28621569, -71.12777580)",2016-12-21
169527,I162103889,617,Larceny,LARCENY THEFT FROM BUILDING,C11,402,,2016-12-21 17:54:00,2016,12,Wednesday,17,Part One,ASHMONT ST,42.28526506,-71.06939965,"(42.28526506, -71.06939965)",2016-12-21
169550,I162103864,619,Larceny,LARCENY ALL OTHERS,B2,280,,2016-12-20 09:00:00,2016,12,Tuesday,9,Part One,DUDLEY ST,,,"(0.00000000, 0.00000000)",2016-12-20
169557,I162103858,617,Larceny,LARCENY THEFT FROM BUILDING,D14,801,,2016-12-05 09:00:00,2016,12,Monday,9,Part One,CAMBRIDGE ST,42.35590007,-71.13172132,"(42.35590007, -71.13172132)",2016-12-05
169560,I162103855,616,Larceny,LARCENY THEFT OF BICYCLE,C11,356,,2016-12-21 16:53:00,2016,12,Wednesday,16,Part One,GENEVA AVE,42.29848866,-71.06313294,"(42.29848866, -71.06313294)",2016-12-21
169579,I162103835,617,Larceny,LARCENY THEFT FROM BUILDING,D4,284,,2016-12-19 21:00:00,2016,12,Monday,21,Part One,MASSACHUSETTS AVE,42.34107005,-71.08255287,"(42.34107005, -71.08255287)",2016-12-19
169581,I162103832,613,Larceny,LARCENY SHOPLIFTING,D4,142,,2016-12-21 15:04:00,2016,12,Wednesday,15,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)",2016-12-21
169586,I162103829,619,Larceny,LARCENY ALL OTHERS,D14,772,,2016-12-21 15:00:00,2016,12,Wednesday,15,Part One,FOSTER ST,42.34608851,-71.15807853,"(42.34608851, -71.15807853)",2016-12-21
169591,I162103822,619,Larceny,LARCENY ALL OTHERS,B2,265,,2016-12-21 15:09:00,2016,12,Wednesday,15,Part One,PERRIN ST,42.32274491,-71.07799077,"(42.32274491, -71.07799077)",2016-12-21
169597,I162103817,617,Larceny,LARCENY THEFT FROM BUILDING,D4,130,,2016-12-21 12:00:00,2016,12,Wednesday,12,Part One,BOYLSTON ST,42.34980175,-71.07840978,"(42.34980175, -71.07840978)",2016-12-21
169623,I162103791,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2016-12-21 12:43:00,2016,12,Wednesday,12,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",2016-12-21
169626,I162103788,617,Larceny,LARCENY THEFT FROM BUILDING,B2,178,,2016-12-21 01:30:00,2016,12,Wednesday,1,Part One,CHESTERTON ST,42.33010314,-71.07090185,"(42.33010314, -71.07090185)",2016-12-21
169648,I162103770,617,Larceny,LARCENY THEFT FROM BUILDING,A1,97,,2016-12-20 20:00:00,2016,12,Tuesday,20,Part One,TREMONT ST,42.35907171,-71.05973044,"(42.35907171, -71.05973044)",2016-12-20
169653,I162103764,613,Larceny,LARCENY SHOPLIFTING,E5,932,,2016-12-21 10:26:00,2016,12,Wednesday,10,Part One,WASHINGTON ST,42.27581799,-71.13991259,"(42.27581799, -71.13991259)",2016-12-21
169657,I162103758,613,Larceny,LARCENY SHOPLIFTING,B3,458,,2016-12-21 10:23:00,2016,12,Wednesday,10,Part One,BLUE HILL AVE,42.30238881,-71.08539388,"(42.30238881, -71.08539388)",2016-12-21
169670,I162103742,619,Larceny,LARCENY ALL OTHERS,B2,181,,2016-12-21 09:51:00,2016,12,Wednesday,9,Part One,GEORGE ST,42.32480945,-71.07177156,"(42.32480945, -71.07177156)",2016-12-21
169741,I162103665,613,Larceny,LARCENY SHOPLIFTING,E13,635,,2016-12-20 20:45:00,2016,12,Tuesday,20,Part One,CENTRE ST,42.31929343,-71.11178236,"(42.31929343, -71.11178236)",2016-12-20
169745,I162103661,617,Larceny,LARCENY THEFT FROM BUILDING,B2,183,,2016-12-20 15:30:00,2016,12,Tuesday,15,Part One,DUDLEY ST,42.31917223,-71.07026435,"(42.31917223, -71.07026435)",2016-12-20
169755,I162103648,619,Larceny,LARCENY ALL OTHERS,A1,80,,2016-12-20 17:00:00,2016,12,Tuesday,17,Part One,PRINCE ST,42.36531295,-71.05565803,"(42.36531295, -71.05565803)",2016-12-20
169760,I162103643,613,Larceny,LARCENY SHOPLIFTING,D4,129,,2016-12-20 19:00:00,2016,12,Tuesday,19,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)",2016-12-20
169768,I162103633,617,Larceny,LARCENY THEFT FROM BUILDING,C6,202,,2016-12-19 08:00:00,2016,12,Monday,8,Part One,W SECOND ST,42.34163892,-71.05156725,"(42.34163892, -71.05156725)",2016-12-19
169774,I162103627,613,Larceny,LARCENY SHOPLIFTING,B3,426,,2016-12-20 18:01:00,2016,12,Tuesday,18,Part One,BLUE HILL AVE,42.26820198,-71.09367344,"(42.26820198, -71.09367344)",2016-12-20
169786,I162103619,617,Larceny,LARCENY THEFT FROM BUILDING,C6,220,,2016-12-20 10:30:00,2016,12,Tuesday,10,Part One,TELEGRAPH ST,42.3329492,-71.04785576,"(42.33294920, -71.04785576)",2016-12-20
169791,I162103613,617,Larceny,LARCENY THEFT FROM BUILDING,A1,104,,2016-12-20 15:00:00,2016,12,Tuesday,15,Part One,FRANKLIN ST,42.35603279,-71.05919355,"(42.35603279, -71.05919355)",2016-12-20
169792,I162103611,613,Larceny,LARCENY SHOPLIFTING,B3,427,,2016-12-15 20:00:00,2016,12,Thursday,20,Part One,BLUE HILL AVE,42.27968299,-71.09286048,"(42.27968299, -71.09286048)",2016-12-15
169796,I162103607,613,Larceny,LARCENY SHOPLIFTING,C6,177,,2016-12-20 16:54:00,2016,12,Tuesday,16,Part One,SOUTHAMPTON ST,42.33210843,-71.07014395,"(42.33210843, -71.07014395)",2016-12-20
169802,I162103600,617,Larceny,LARCENY THEFT FROM BUILDING,C11,247,,2016-12-18 00:00:00,2016,12,Sunday,0,Part One,DORCHESTER AVE,42.31478234,-71.05680037,"(42.31478234, -71.05680037)",2016-12-18
169819,I162103577,619,Larceny,LARCENY ALL OTHERS,E18,544,,2016-12-18 16:00:00,2016,12,Sunday,16,Part One,CHESTNUT ST,42.25940641,-71.12632752,"(42.25940641, -71.12632752)",2016-12-18
169836,I162103555,617,Larceny,LARCENY THEFT FROM BUILDING,D4,146,,2016-12-20 14:22:00,2016,12,Tuesday,14,Part One,HUNTINGTON AVE,42.3473098,-71.07915167,"(42.34730980, -71.07915167)",2016-12-20
169852,I162103537,619,Larceny,LARCENY ALL OTHERS,A1,100,,2016-12-19 15:00:00,2016,12,Monday,15,Part One,WASHINGTON ST,42.35420018,-71.06185184,"(42.35420018, -71.06185184)",2016-12-19
169853,I162103536,617,Larceny,LARCENY THEFT FROM BUILDING,B3,449,,2016-12-20 12:26:00,2016,12,Tuesday,12,Part One,WHEATLAND AVE,42.29286008,-71.07617677,"(42.29286008, -71.07617677)",2016-12-20
169862,I162103526,617,Larceny,LARCENY THEFT FROM BUILDING,A1,97,,2016-12-13 16:30:00,2016,12,Tuesday,16,Part One,TREMONT ST,42.35907171,-71.05973044,"(42.35907171, -71.05973044)",2016-12-13
169875,I162103511,617,Larceny,LARCENY THEFT FROM BUILDING,A1,61,,2016-12-19 17:17:00,2016,12,Monday,17,Part One,BEVERLY ST,42.36658726,-71.06019881,"(42.36658726, -71.06019881)",2016-12-19
169876,I162103510,613,Larceny,LARCENY SHOPLIFTING,D4,142,,2016-12-20 10:56:00,2016,12,Tuesday,10,Part One,HEREFORD ST,42.34875218,-71.08564343,"(42.34875218, -71.08564343)",2016-12-20
169880,I162103501,617,Larceny,LARCENY THEFT FROM BUILDING,B2,322,,2016-12-20 10:47:00,2016,12,Tuesday,10,Part One,WARREN ST,42.31503085,-71.08344018,"(42.31503085, -71.08344018)",2016-12-20
169888,I162103498,611,Larceny,LARCENY PICK-POCKET,A1,120,,2016-12-13 10:30:00,2016,12,Tuesday,10,Part One,BOYLSTON ST,42.35241815,-71.06525499,"(42.35241815, -71.06525499)",2016-12-13
169898,I162103486,619,Larceny,LARCENY ALL OTHERS,A15,105,,2016-12-20 09:30:00,2016,12,Tuesday,9,Part One,SUMMER ST,42.35521625,-71.06012863,"(42.35521625, -71.06012863)",2016-12-20
169940,I162103439,613,Larceny,LARCENY SHOPLIFTING,D14,798,,2016-12-18 07:55:00,2016,12,Sunday,7,Part One,COMMONWEALTH AVE,42.35216435,-71.12378708,"(42.35216435, -71.12378708)",2016-12-18
169967,I162103413,613,Larceny,LARCENY SHOPLIFTING,A1,117,,2016-12-19 22:00:00,2016,12,Monday,22,Part One,WASHINGTON ST,42.35174282,-71.0627594,"(42.35174282, -71.06275940)",2016-12-19
169969,I162103411,617,Larceny,LARCENY THEFT FROM BUILDING,D4,179,,2016-12-19 21:45:00,2016,12,Monday,21,Part One,MASSACHUSETTS AVE,42.33331285,-71.07322932,"(42.33331285, -71.07322932)",2016-12-19
169970,I162103410,617,Larceny,LARCENY THEFT FROM BUILDING,E13,578,,2016-12-19 11:00:00,2016,12,Monday,11,Part One,CHESTNUT AVE,42.31981996,-71.1042968,"(42.31981996, -71.10429680)",2016-12-19
169973,I162103407,617,Larceny,LARCENY THEFT FROM BUILDING,D4,149,,2016-12-16 15:40:00,2016,12,Friday,15,Part One,DARTMOUTH ST,42.34767067,-71.07620742,"(42.34767067, -71.07620742)",2016-12-16
170008,I162103371,617,Larceny,LARCENY THEFT FROM BUILDING,A1,77,,2016-12-19 19:07:00,2016,12,Monday,19,Part One,CANAL ST,42.36489527,-71.06050249,"(42.36489527, -71.06050249)",2016-12-19
170009,I162103370,617,Larceny,LARCENY THEFT FROM BUILDING,D4,171,,2016-12-19 15:54:00,2016,12,Monday,15,Part One,HARRISON AVE,42.33511904,-71.0749171,"(42.33511904, -71.07491710)",2016-12-19
170014,I162103367,619,Larceny,LARCENY ALL OTHERS,B2,329,,2016-12-19 13:45:00,2016,12,Monday,13,Part One,BLUE HILL AVE,42.31109885,-71.08135829,"(42.31109885, -71.08135829)",2016-12-19
170018,I162103364,617,Larceny,LARCENY THEFT FROM BUILDING,B2,612,,2016-12-19 19:50:00,2016,12,Monday,19,Part One,FRANCIS ST,42.33606304,-71.10782832,"(42.33606304, -71.10782832)",2016-12-19
170037,I162103340,613,Larceny,LARCENY SHOPLIFTING,B3,427,,2016-12-19 18:08:00,2016,12,Monday,18,Part One,BLUE HILL AVE,42.27653731,-71.0933951,"(42.27653731, -71.09339510)",2016-12-19
170056,I162103320,617,Larceny,LARCENY THEFT FROM BUILDING,A1,111,,2016-12-19 17:27:00,2016,12,Monday,17,Part One,WINTER ST,42.35554806,-71.0607314,"(42.35554806, -71.06073140)",2016-12-19
170084,I162103287,617,Larceny,LARCENY THEFT FROM BUILDING,B2,612,,2016-12-08 14:30:00,2016,12,Thursday,14,Part One,LONGWOOD AVE,42.33744152,-71.10428096,"(42.33744152, -71.10428096)",2016-12-08
170116,I162103256,617,Larceny,LARCENY THEFT FROM BUILDING,A1,96,,2016-12-18 01:20:00,2016,12,Sunday,1,Part One,CENTRAL WHARF,42.35895455,-71.05035005,"(42.35895455, -71.05035005)",2016-12-18
170120,I162103252,613,Larceny,LARCENY SHOPLIFTING,C11,356,,2016-12-19 13:21:00,2016,12,Monday,13,Part One,GENEVA AVE,42.29848866,-71.06313294,"(42.29848866, -71.06313294)",2016-12-19
170124,I162103247,613,Larceny,LARCENY SHOPLIFTING,C6,186,,2016-12-19 13:17:00,2016,12,Monday,13,Part One,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)",2016-12-19
170125,I162103246,617,Larceny,LARCENY THEFT FROM BUILDING,B2,329,,2016-11-14 14:01:00,2016,11,Monday,14,Part One,FAYWOOD AVE,42.39214603,-71.00893922,"(42.39214603, -71.00893922)",2016-11-14
170135,I162103234,617,Larceny,LARCENY THEFT FROM BUILDING,B2,289,,2016-12-19 13:02:00,2016,12,Monday,13,Part One,TREMONT ST,42.33364401,-71.09086302,"(42.33364401, -71.09086302)",2016-12-19
170152,I162103215,613,Larceny,LARCENY SHOPLIFTING,E18,521,,2016-12-19 12:58:00,2016,12,Monday,12,Part One,RIVER ST,42.25592648,-71.12317207,"(42.25592648, -71.12317207)",2016-12-19
170157,I162103211,613,Larceny,LARCENY SHOPLIFTING,D4,143,,2016-12-19 10:34:00,2016,12,Monday,10,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)",2016-12-19
170214,I162103155,617,Larceny,LARCENY THEFT FROM BUILDING,B2,611,,2016-12-04 15:00:00,2016,12,Sunday,15,Part One,NEW WHITNEY ST,42.3347809,-71.1094777,"(42.33478090, -71.10947770)",2016-12-04
170220,I162103150,617,Larceny,LARCENY THEFT FROM BUILDING,A1,68,,2016-12-17 08:30:00,2016,12,Saturday,8,Part One,BOWDOIN ST,42.36038173,-71.06285769,"(42.36038173, -71.06285769)",2016-12-17
170221,I162103149,619,Larceny,LARCENY ALL OTHERS,D14,803,,2016-12-12 18:00:00,2016,12,Monday,18,Part One,BRAINTREE ST,42.35653193,-71.13784034,"(42.35653193, -71.13784034)",2016-12-12
170236,I162103134,617,Larceny,LARCENY THEFT FROM BUILDING,A7,29,,2016-12-19 08:50:00,2016,12,Monday,8,Part One,BREMEN ST,42.37167554,-71.03563919,"(42.37167554, -71.03563919)",2016-12-19
170251,I162103122,613,Larceny,LARCENY SHOPLIFTING,C11,370,,2016-12-19 06:00:00,2016,12,Monday,6,Part One,WILLIAM T MORRISSEY BLVD,42.29767279,-71.04941018,"(42.29767279, -71.04941018)",2016-12-19
